DATE,GDP,GDP_PCH
2010-10-01,15240.843,1.06715
2011-01-01,15285.828,0.29516
2011-04-01,15496.189,1.37618
2011-07-01,15591.85,0.61732
2011-10-01,15796.46,1.31229
2012-01-01,16019.758,1.41360
2012-04-01,16152.257,0.82710
2012-07-01,16257.151,0.64941
2012-10-01,16358.863,0.62564
2013-01-01,16569.591,1.28816
2013-04-01,16637.926,0.41241
2013-07-01,16848.748,1.26712
2013-10-01,17083.137,1.39114
2014-01-01,17104.555,0.12538
2014-04-01,17432.909,1.91969
2014-07-01,17721.657,1.65634
2014-10-01,17849.912,0.72372
2015-01-01,18003.399,0.85988
2015-04-01,18223.577,1.22298
2015-07-01,18347.425,0.67960
2015-10-01,18378.803,0.17102
2016-01-01,18470.156,0.49706
2016-04-01,18656.207,1.00731
2016-07-01,18821.359,0.88524
2016-10-01,19032.58,1.12224
2017-01-01,19237.435,1.07634
2017-04-01,19379.232,0.73709
2017-07-01,19617.288,1.22841
2017-10-01,19937.963,1.63466
2018-01-01,20242.215,1.52599
2018-04-01,20552.653,1.53362
2018-07-01,20742.723,0.92480
2018-10-01,20909.853,0.80573
2019-01-01,21115.309,0.98258
2019-04-01,21329.877,1.01617
2019-07-01,21540.325,0.98663
2019-10-01,21747.394,0.96131
2020-01-01,21561.139,-0.85645
2020-04-01,19520.114,-9.46622
